Запись: IMPL, Количество повторений: 9
Запись: SYRP, Количество повторений: 3
Запись: OINT, Количество повторений: 12
Запись: TAPE, Количество повторений: 2
Запись: PSKT, Количество повторений: 5
Запись: SUBL, Количество повторений: 3
Запись: PSTE, Количество повторений: 6
Запись: SHEE, Количество повторений: 4
Запись: FOAM, Количество повторений: 8
Запись: LQCR, Количество повторений: 4
Запись: SUSP, Количество повторений: 25
Запись: GUM, Количество повторений: 6
Запись: LOTN, Количество повторений: 5
Запись: EMUL, Количество повторений: 10
Запись: PLLT, Количество повторений: 7
Запись: SWAB, Количество повторений: 5
Запись: SOAJ, Количество повторений: 3
Запись: FILM, Количество повторений: 7
Запись: SUER, Количество повторений: 2
Запись: TBEF, Количество повторений: 5
Запись: POWD, Количество повторений: 9
Запись: SUAJ, Количество повторений: 2
Запись: GEL, Количество повторений: 16
Запись: STCK, Количество повторений: 2
Запись: OIL, Количество повторений: 11
Запись: TEST, Количество повторений: 5
Запись: KIT, Количество повторений: 24
Запись: GAS, Количество повторений: 2
Запись: BEAD, Количество повторений: 3
Запись: PACK, Количество повторений: 9
Запись: DISK, Количество повторений: 3
Запись: CONC, Количество повторений: 8
Запись: WAFR, Количество повторений: 6
Запись: CART, Количество повторений: 3
Запись: INJ, Количество повторений: 6
Запись: SOLR, Количество повторений: 20
Запись: SUPP, Количество повторений: 4
Запись: LPOP, Количество повторений: 2
Запись: SUPN, Количество повторений: 2
Запись: THPK, Количество повторений: 9
Запись: CHEW, Количество повторений: 2
Запись: MISC, Количество повторений: 13
Запись: AUIJ, Количество повторений: 2
Запись: AJKT, Количество повторений: 2
Запись: PTCH, Количество повторений: 4
Запись: LEAV, Количество повторений: 2
Запись: PRSY, Количество повторений: 7
Запись: TINC, Количество повторений: 4
Запись: EXTR, Количество повторений: 3
Запись: JTAJ, Количество повторений: 3
Запись: LOZG, Количество повторений: 3
Запись: CREA, Количество повторений: 11
Запись: CRYS, Количество повторений: 4
Запись: TABS, Количество повторений: 9
Запись: TBDP, Количество повторений: 3
Запись: LQPK, Количество повторений: 2
Запись: PT24, Количество повторений: 2
Запись: INST, Количество повторений: 2
Запись: SOSY, Количество повторений: 11
Запись: PADS, Количество повторений: 4
Запись: SUSR, Количество повторений: 19
Запись: SRER, Количество повторений: 6
Запись: DEVI, Количество повторений: 6
Запись: SOCT, Количество повторений: 3
Запись: TBSO, Количество повторений: 6
Запись: SUSY, Количество повторений: 4
Запись: SOPK, Количество повторений: 5
Запись: TDSY, Количество повторений: 4
Запись: LIQD, Количество повторений: 12
Запись: BAR, Количество повторений: 3
Запись: TAMP, Количество повторений: 2
Запись: STRP, Количество повторений: 7
Запись: PEN, Количество повторений: 2
Запись: SOLN, Количество повторений: 42
Запись: GRAN, Количество повторений: 4
Запись: SPRT, Количество повторений: 3
Запись: TBCR, Количество повторений: 2
Запись: SUPK, Количество повторений: 3
Запись: AERS, Количество повторений: 9
Запись: AERP, Количество повторений: 6
Запись: SOPN, Количество повторений: 2
Запись: INHA, Количество повторений: 2
Запись: CAPS, Количество повторений: 7
Запись: AERO, Количество повторений: 8
Запись: SUTJ, Количество повторений: 2
Общее количество повторений: 539
